Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,10.49,77.6405603927368,0.14567128241719957,0.13243151090560126,,
2022-09-30,7.82,68.8595595390594,0.1212613042530951,0.12127002229440961,0.71875,0.25
2022-06-30,3.15,54.5610311021575,0.06323194284104314,0.09918400209316981,0.676923076923077,0.3230769230769231
2022-03-31,10.58,60.1753969768827,0.1791429810449161,0.11476829824067096,0.765625,0.171875
2021-12-31,16.09,67.0218761119437,0.2396232533564964,0.12411639053348467,0.7692307692307693,0.2153846153846154
2021-09-30,12.07,61.4658474982836,0.2030395822712523,0.12221413660557685,0.873015873015873,0.12698412698412698
2021-06-30,15.89,62.9807576545978,0.2527756189804711,0.13050720579996408,0.9047619047619048,0.07936507936507936
2021-03-31,14.64,60.5420599568553,0.24445815042545752,0.13226094684466466,0.953125,0.03125
2020-12-31,13.91,61.8670649331195,0.2325954854259872,0.13462538959762418,0.8307692307692308,0.15384615384615385
2020-09-30,11.65,59.4823650302789,0.19703318780337756,0.13938655081769577,0.78125,0.171875
2020-06-30,4.95,59.488390121631,0.12859652083975842,0.15282471783179416,0.7538461538461538,0.2153846153846154
2020-03-31,-1.31,48.3811076360206,-0.022529455261757494,0.11877629749862628,0.5692307692307692,0.4307692307692308
2019-12-31,11.59,62.6832764200606,0.1874503164330388,0.13889793849388166,0.7121212121212122,0.22727272727272727
2019-09-30,9.92,59.9403298308666,0.17333905284334308,0.13969706303751275,0.8153846153846154,0.16923076923076924
2019-06-30,10.28,59.482142554686,0.17366556677918796,0.1416097243681549,0.7424242424242424,0.18181818181818182
2019-03-31,10.94,58.9005033284565,0.18624628619599728,0.14635892397331698,0.7014925373134329,0.208955223880597
2018-12-31,4.24,50.9862854955518,0.08512092924240647,0.12392382785267786,0.6119402985074627,0.34328358208955223
2018-09-30,9.83,55.937454231577,0.1773409272243946,0.1395248038174744,0.7727272727272727,0.15151515151515152
2018-06-30,8.89,54.4343673793849,0.1673575066374353,0.13873684190491914,0.7424242424242424,0.18181818181818182
2018-03-31,7.83,50.7740262919237,0.15519746168433016,0.13475394359590184,0.7878787878787878,0.10606060606060606
2017-12-31,5.75,49.8089450817918,0.13330938828550545,0.12874971614049766,0.7910447761194029,0.14925373134328357
2017-09-30,6.07,49.4860258315544,0.12407543133287688,0.1377338340459993,0.7611940298507462,0.1791044776119403
2017-06-30,6.65,47.9045321045194,0.1457064643648089,0.1369707959569664,0.7424242424242424,0.16666666666666666
2017-03-31,6.62,47.4503092029096,0.14394005254619482,0.1260482299960155,0.8307692307692308,0.13846153846153847
2016-12-31,5.54,45.2274147926016,0.1295674322061537,0.1288434011259906,0.7936507936507936,0.14285714285714285
2016-09-30,6.8,46.2497375875337,0.1513522100909563,0.13729912646084497,0.84375,0.09375
2016-06-30,5.38,38.2220932721387,0.14284931913919974,0.14394795487118886,0.5543478260869565,0.33695652173913043
2016-03-31,5.28,36.8598797663907,0.1483998329529988,0.1426003277548168,0.5555555555555556,0.35555555555555557
2015-12-31,4.6,37.3648932965647,0.13461834241240705,0.13533246240378474,0.6511627906976745,0.26744186046511625
2015-09-30,5.65,37.6909364687033,0.15839351736344345,0.13810462651512725,0.5402298850574713,0.3448275862068966
2015-06-30,5.69,37.7002132416901,0.15437578463254045,0.13948866816144617,0.6477272727272727,0.2727272727272727
2015-03-31,5.97,37.6580172223468,0.16410848089826408,0.14218643851813742,0.627906976744186,0.2558139534883721
2014-12-31,4.09,36.9526288066757,0.13314343685099814,0.12757127870822724,0.6,0.32941176470588235
2014-09-30,4.98,37.2688552951823,0.15294271731326378,0.13093174140241132,0.7261904761904762,0.19047619047619047
2014-06-30,5.15,37.4359286762368,0.15599986981776295,0.13143349366380663,0.7108433734939759,0.1686746987951807
2014-03-31,4.88,36.4670390122353,0.15082112913402865,0.13317521054982878,0.6341463414634146,0.2682926829268293
2013-12-31,4.67,36.7885285047605,0.14325117677153226,0.12897051802523576,0.691358024691358,0.2345679012345679
2013-09-30,4.27,35.706574944841,0.14423113972582488,0.13021989712900106,0.5925925925925926,0.3333333333333333
2013-06-30,5.28,36.8264142143215,0.14772005681412304,0.1356524967775833,0.7037037037037037,0.24691358024691357
2013-03-31,4.71,36.9737335621767,0.14091084394381295,0.13905789767778234,0.7407407407407407,0.19753086419753085
2012-12-31,3.72,40.4788530750074,0.09535843302791736,0.14141933727605924,0.654320987654321,0.24691358024691357
2012-09-30,3.73,36.5188902993007,0.11692578731182765,0.1359301139297808,0.654320987654321,0.2222222222222222
2012-06-30,4.14,35.2591980509488,0.12422290472037942,0.13082379679156525,0.5925925925925926,0.345679012345679
2012-03-31,3.97,35.4595095787098,0.11083063603224808,0.1311259821301332,,
2011-12-31,3.68,35.0489958772704,0.1155525257893754,0.12390867797592958,,
2011-09-30,4.32,35.8364870608779,0.12501225336036753,0.13022567338942884,,
2011-06-30,2.48,37.0932069087583,0.10648850097313485,0.13609038004700508,,
2011-03-31,3.6,36.0868547229357,0.10391595579031206,0.13638780797416744,,
2010-12-31,3.44,37.67217552434988,0.09094978622614142,0.14018241971484496,,
2010-09-30,2.4,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,3.44,,,,,
2010-03-31,3.49,,,,,
2009-12-31,-0.27,,,,,
2009-09-30,1.18,,,,,
2009-06-30,1.95,,,,,
2009-03-31,-0.25,,,,,
2008-12-31,-23.91,,,,,
2008-09-30,-10.71,,,,,
2008-06-30,-2.53,,,,,
2008-03-31,-0.81,,,,,
