Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,18.05,113.159963416134,0.20183817059049652,0.11172342923540797,,
2022-09-30,19.61,105.97576828571,0.2037258172244951,0.10803005003799512,0.7333333333333333,0.13333333333333333
2022-06-30,19.98,104.830883869474,0.20003647041753422,0.11105421569228086,0.868421052631579,0.10526315789473684
2022-03-31,24.09,107.217807100801,0.22990583995833136,0.11773582467777513,0.84,0.13333333333333333
2021-12-31,25.87,110.694166140927,0.24436698827978065,0.11901845467582664,0.8947368421052632,0.06578947368421052
2021-09-30,24.65,99.7831247280861,0.235711199304423,0.11458339147575342,0.9459459459459459,0.02702702702702703
2021-06-30,21.1,97.5516588724077,0.22408639947980483,0.11492224985340765,0.972972972972973,0.013513513513513514
2021-03-31,20.32,95.6678604482763,0.2202411541480191,0.11935795464982557,0.9178082191780822,0.0547945205479452
2020-12-31,22.6,101.322853247881,0.22492457791575876,0.12478016963800652,0.9315068493150684,0.0547945205479452
2020-09-30,15.96,83.986199914554,0.19324603347350042,0.11162193500799021,0.9295774647887324,0.028169014084507043
2020-06-30,14.33,79.8731679826433,0.1812874131040671,0.11710737001726654,0.9285714285714286,0.014285714285714285
2020-03-31,12.2,78.032198364601,0.18312953241725663,0.10922776713423421,0.7605633802816901,0.14084507042253522
2019-12-31,17.9,89.7819714971505,0.20182225560256375,0.11310770221728944,0.8285714285714286,0.15714285714285714
2019-09-30,13.89,79.3412738875897,0.19220765249630503,0.10323314548109545,0.8805970149253731,0.08955223880597014
2019-06-30,14.92,75.7824089977771,0.20426904085952283,0.09915244730521952,0.8181818181818182,0.10606060606060606
2019-03-31,13.6,73.473369139292,0.19149795585562254,0.10025768931356133,0.8235294117647058,0.11764705882352941
2018-12-31,15.98,82.4755604067146,0.20769789153933885,0.11024462545852244,0.8208955223880597,0.1044776119402985
2018-09-30,15.83,75.539312122458,0.22094455894625534,0.10299459356602826,0.90625,0.046875
2018-06-30,13.73,67.4715192155169,0.21623938766513848,0.11675487834871463,0.9154929577464789,0.07042253521126761
2018-03-31,13.08,66.7651254702785,0.22916155541130565,0.11989907048197845,0.9130434782608695,0.014492753623188406
2017-12-31,2.91,73.7530089285102,0.23429552571542867,0.12851209618435006,0.8656716417910447,0.08955223880597014
2017-09-30,11.64,61.7170740216218,0.19767625399295313,0.11467473538289735,0.8970588235294118,0.04411764705882353
2017-06-30,9.72,58.4945447615454,0.18480355807652252,0.11150820474677876,0.8529411764705882,0.058823529411764705
2017-03-31,9.48,56.6775923349112,0.18172966732843376,0.11132364762733624,0.8656716417910447,0.04477611940298507
2016-12-31,12.54,64.0113290035328,0.19449682101293167,0.12233788678936798,0.835820895522388,0.04477611940298507
2016-09-30,8.69,55.0420404109284,0.1676900044237353,0.10871798581184235,0.8787878787878788,0.06060606060606061
2016-06-30,8.08,53.0534683036167,0.15588047802402066,0.10850758484368005,0.8656716417910447,0.04477611940298507
2016-03-31,7.53,52.9475929080688,0.15165939675373402,0.11248982399927161,0.7611940298507462,0.1791044776119403
2015-12-31,10.17,59.9733071151156,0.18324819038085183,0.12170025805147848,0.803030303030303,0.06060606060606061
2015-09-30,8.44,52.8757593118222,0.16983207649166016,0.11006900207297861,0.7352941176470589,0.11764705882352941
2015-06-30,6.59,52.2263591339092,0.16964613553249655,0.10856175867746823,0.7272727272727273,0.16666666666666666
2015-03-31,8.66,52.9332286830017,0.17285928381199075,0.11376017122915984,0.7121212121212122,0.18181818181818182
2014-12-31,10.96,62.4205916855959,0.18599631446106765,0.12255621465358327,0.84375,0.0625
2014-09-30,9.23,54.5101089040788,0.1588696147211697,0.10929316494555597,0.8307692307692308,0.12307692307692308
2014-06-30,8.1,53.5174876268128,0.16200312055860117,0.10683092106731937,0.7230769230769231,0.15384615384615385
2014-03-31,7.81,50.2305676587596,0.1638444553505815,0.10496935273810323,0.7575757575757576,0.12121212121212122
2013-12-31,9.36,54.6664097481343,0.17945206288830418,0.11109265755071164,0.7538461538461538,0.16923076923076924
2013-09-30,7.96,48.8580472335533,0.16517238115194097,0.10135802998093128,0.8333333333333334,0.10606060606060606
2013-06-30,7.16,50.4991353681118,0.14851739431435795,0.10644006076775095,0.7285714285714285,0.18571428571428572
2013-03-31,7.92,51.4081114997668,0.15950790178388866,0.11106066422931031,0.6714285714285714,0.2714285714285714
2012-12-31,9.17,55.2425526591871,0.16979664313973483,0.11229884740889522,0.8,0.11428571428571428
2012-09-30,5.95,49.1745919840113,0.14031636504972886,0.10718694712358073,0.6428571428571429,0.17142857142857143
2012-06-30,4.31,49.3681152568531,0.16488375052701723,0.10718313795122013,0.6857142857142857,0.15714285714285714
2012-03-31,7.81,49.5222808673048,0.16699553928381258,0.1078763083638003,,
2011-12-31,8.6,52.4449856979052,0.1765659743591058,0.11224383750523038,,
2011-09-30,6.24,46.8963102413378,0.1560890390380355,0.10252121057457943,,
2011-06-30,7.29,46.2591753475611,0.16623729113678282,0.10044563651524042,,
2011-03-31,6.93,44.0921289094882,0.16284085567151949,0.10097545389627545,,
2010-12-31,7.76,45.73015003916413,0.17277438384070834,0.1048854711190837,,
2010-09-30,6.58,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,5.83,,,,,
2010-03-31,5.39,,,,,
2009-12-31,6.26,,,,,
2009-09-30,4.29,,,,,
2009-06-30,2.99,,,,,
2009-03-31,1.53,,,,,
2008-12-31,0.02,,,,,
2008-09-30,3.82,,,,,
2008-06-30,4.82,,,,,
2008-03-31,4.16,,,,,
