Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,1.83,38.2285834906578,0.0706277804057223,0.028289013634531974,,
2022-09-30,4.63,39.2311148624035,0.12744985753111157,0.02997414427147361,0.6206896551724138,0.2413793103448276
2022-06-30,2.92,33.607686895251,0.09313345514541468,0.02567730698975661,0.7241379310344828,0.10344827586206896
2022-03-31,4.12,35.4180606913141,0.1290302153985733,0.02809242007143386,0.6551724137931034,0.3103448275862069
2021-12-31,2.74,32.4165505136943,0.08483320885231971,0.025051882242219596,0.6785714285714286,0.25
2021-09-30,3.58,32.1630025342666,0.14799613297697176,0.02654250920702019,0.6071428571428571,0.35714285714285715
2021-06-30,2.32,27.3342222328503,0.11487431298580518,0.02338644681502496,0.6428571428571429,0.25
2021-03-31,4.14,31.7868497457527,0.145657718114034,0.028474893271454797,0.75,0.21428571428571427
2020-12-31,2.31,27.4113712808355,0.12841386021650758,0.02424097004167819,0.6071428571428571,0.21428571428571427
2020-09-30,4.05,29.6341601461491,0.16467482040769582,0.02827818430191563,0.7142857142857143,0.25
2020-06-30,2.13,24.9697790263656,0.15218396590484753,0.026211748073878126,0.7857142857142857,0.10714285714285714
2020-03-31,2.58,28.7083742662288,0.11843234202222318,0.02824162685095793,0.5357142857142857,0.42857142857142855
2019-12-31,4.04,28.523897493083,0.10833021682080159,0.025255607305733525,0.75,0.21428571428571427
2019-09-30,4.84,31.0589991202762,0.1629157456235184,0.028457583625134907,0.6785714285714286,0.25
2019-06-30,3.03,27.3134842366036,0.1241145205289101,0.024952419968280244,0.39285714285714285,0.4642857142857143
2019-03-31,3.88,31.0717016537977,0.13259653577732,0.029330261630982825,0.5,0.39285714285714285
2018-12-31,-1.11,31.3185329020132,0.07471614354737482,0.028139655972944176,0.5862068965517241,0.3793103448275862
2018-09-30,4.63,33.8968664184339,0.1513414230293036,0.030835604237827347,0.8275862068965517,0.13793103448275862
2018-06-30,1.84,29.9246471911555,0.1166262705690813,0.02721568119038056,0.7241379310344828,0.1724137931034483
2018-03-31,5.38,34.0319243195273,0.13075957616203968,0.031333714556391966,0.6071428571428571,0.32142857142857145
2017-12-31,1.74,31.9327239061337,0.0958264634421691,0.02843105697109186,0.7142857142857143,0.21428571428571427
2017-09-30,4.33,34.1824695289895,0.13632718946909156,0.03253925530964825,0.5,0.42857142857142855
2017-06-30,1.98,30.6587795673073,0.09980827818935761,0.029602201564125144,0.7142857142857143,0.17857142857142858
2017-03-31,3.97,33.4822141960179,0.1119997613672155,0.030107436739800007,0.75,0.14285714285714285
2016-12-31,-1.12,31.0208742356567,0.07736725863261903,0.029649889346306267,0.35714285714285715,0.42857142857142855
2016-09-30,4.1,35.6744492156918,0.1381941447839224,0.03510339161526397,0.75,0.21428571428571427
2016-06-30,2.0,29.1094625204751,0.09206628250572933,0.029186918578434612,0.5925925925925926,0.3333333333333333
2016-03-31,3.21,31.9570780946871,0.11452861832848478,0.03284989293678842,0.4827586206896552,0.41379310344827586
2015-12-31,-0.96,30.0446632556042,0.005325405002505907,0.0288547225613449,0.5517241379310345,0.3103448275862069
2015-09-30,3.45,35.4181824294175,0.1208418870315924,0.03431301640597429,0.5172413793103449,0.4482758620689655
2015-06-30,2.81,30.5717471656527,0.0971485202957844,0.03026225283010953,0.5517241379310345,0.4482758620689655
2015-03-31,3.67,36.322496512954,0.10571960544150671,0.03703853257725015,0.7,0.26666666666666666
2014-12-31,2.17,34.5464778514304,0.07931344004976618,0.03216755357776304,0.5333333333333333,0.36666666666666664
2014-09-30,4.27,36.0748582236465,0.12529501770951412,0.03402155352758603,0.4666666666666667,0.3333333333333333
2014-06-30,2.44,32.4187793307447,0.08143428144119935,0.03048648710798235,0.5666666666666667,0.3333333333333333
2014-03-31,2.62,38.3787898815855,0.08650611471189108,0.03740079137597927,0.7666666666666667,0.16666666666666666
2013-12-31,1.99,33.096026320134,0.0779549778890058,0.03199365271190934,0.6774193548387096,0.25806451612903225
2013-09-30,3.73,35.2414055462474,0.11719169357703933,0.035288628113013115,0.5161290322580645,0.3870967741935484
2013-06-30,2.03,32.0932117737125,0.0897386033004962,0.03220300477828261,0.5483870967741935,0.41935483870967744
2013-03-31,2.01,33.4856670666035,0.07585334928367715,0.034252764226075684,0.5483870967741935,0.41935483870967744
2012-12-31,1.61,32.2864769115931,0.08207770724740998,0.03090689809749875,0.5806451612903226,0.25806451612903225
2012-09-30,2.72,34.6685332348269,0.10557123877174246,0.0352589601533599,0.5806451612903226,0.3548387096774194
2012-06-30,2.47,30.5524237139468,0.08771808171724894,0.03083607336281862,0.59375,0.375
2012-03-31,2.33,33.0888695171903,0.09006049597590009,0.03298742328807228,,
2011-12-31,1.44,33.7548259119671,0.06873091290858917,0.03289269345801798,,
2011-09-30,3.74,38.2472272691697,0.10798168376846255,0.03777943487119408,,
2011-06-30,3.14,33.825877447552,0.08484628386802434,0.03375479655724367,,
2011-03-31,2.83,36.5559212838065,0.08616935066537042,0.03803841967015992,,
2010-12-31,2.07,34.095351338970524,0.06321369701087742,0.03510639350446414,,
2010-09-30,3.09,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,2.84,,,,,
2010-03-31,3.04,,,,,
2009-12-31,4.12,,,,,
2009-09-30,3.47,,,,,
2009-06-30,2.4,,,,,
2009-03-31,2.37,,,,,
2008-12-31,1.69,,,,,
2008-09-30,3.78,,,,,
2008-06-30,2.82,,,,,
2008-03-31,3.32,,,,,
