Date,earnings_per_share,sales_per_share,operating_margin,operating_sales_cont,earnings_beat,earnings_miss
2022-12-31,10.2,113.990464686636,0.10457015008025908,0.09885241388573782,,
2022-09-30,10.25,111.240707548667,0.09304147940152169,0.09882173099810572,0.7605633802816901,0.19718309859154928
2022-06-30,9.17,110.095165361921,0.09564452685441942,0.10212222694815899,0.8309859154929577,0.14084507042253522
2022-03-31,6.86,98.2823899751652,0.07844742076325399,0.09715505172484445,0.8732394366197183,0.09859154929577464
2021-12-31,6.51,99.5635014883983,0.0852722119359101,0.09748318522504108,0.8169014084507042,0.15492957746478872
2021-09-30,8.87,94.4236927223118,0.09478553254976824,0.10011310900364825,0.8356164383561644,0.1506849315068493
2021-06-30,8.78,92.4972816972172,0.09373248425159761,0.1018960976362017,0.8356164383561644,0.1095890410958904
2021-03-31,7.39,84.7386064656305,0.06809174991968128,0.09858487543634165,0.9041095890410958,0.0821917808219178
2020-12-31,2.79,86.61016026371,0.03486888825519691,0.09916242146126202,0.7671232876712328,0.1917808219178082
2020-09-30,3.13,80.3048193611092,0.057530793752553024,0.09923543158218381,0.9041095890410958,0.0821917808219178
2020-06-30,-0.61,71.9320850341562,0.028916164448901122,0.097170861562107,0.9178082191780822,0.0821917808219178
2020-03-31,5.99,84.1404611164826,0.04599451855442578,0.10771378535062316,0.6521739130434783,0.30434782608695654
2019-12-31,6.51,94.3802817443201,0.08603492011178139,0.10870543807625391,0.6,0.2571428571428571
2019-09-30,8.21,93.3472915273146,0.10284176265779407,0.11168648204879406,0.7611940298507462,0.14925373134328357
2019-06-30,6.88,96.3874726859755,0.09658931540130129,0.11595548055805599,0.7121212121212122,0.18181818181818182
2019-03-31,7.84,91.9629837100781,0.09177605662086702,0.11528096340988091,0.6956521739130435,0.2463768115942029
2018-12-31,7.58,96.3163925184123,0.09323438892588654,0.11817815763928037,0.7971014492753623,0.15942028985507245
2018-09-30,2.77,94.0000306447444,0.10457443399301276,0.11906143549777848,0.6666666666666666,0.18840579710144928
2018-06-30,9.03,93.743081878254,0.10347430237676185,0.12028578886027143,0.8260869565217391,0.14492753623188406
2018-03-31,7.49,86.880080623266,0.10278535581386876,0.11699006587998377,0.782608695652174,0.15942028985507245
2017-12-31,5.18,88.9147475799796,0.08828681645796559,0.11598856190909143,0.7681159420289855,0.14492753623188406
2017-09-30,7.79,86.3657827397675,0.09320820983300536,0.11954397498220924,0.75,0.1323529411764706
2017-06-30,7.47,84.9991979340811,0.09435383150579492,0.12069210989499138,0.696969696969697,0.21212121212121213
2017-03-31,5.75,79.061283269753,0.08057040989666067,0.12080166052558891,0.7647058823529411,0.16176470588235295
2016-12-31,5.78,81.9439734673065,0.07993266280421803,0.11631112985601054,0.6029411764705882,0.27941176470588236
2016-09-30,7.13,79.6540841503779,0.09415713054764209,0.11440951519888148,0.7014925373134329,0.22388059701492538
2016-06-30,6.93,78.6356761329007,0.09079848169592665,0.12117576280172412,0.7058823529411765,0.17647058823529413
2016-03-31,5.12,74.561695185475,0.07886086797481308,0.11740380356301952,0.7538461538461538,0.16923076923076924
2015-12-31,6.19,77.1973893277104,0.09184248407549461,0.11841956051719464,0.6461538461538462,0.27692307692307694
2015-09-30,7.64,77.0450915676133,0.10033085616124293,0.12141606279002728,0.7121212121212122,0.19696969696969696
2015-06-30,6.46,75.0158059245617,0.0927804469234017,0.11894779104904823,0.71875,0.21875
2015-03-31,2.55,71.058684755455,0.0873925547787918,0.11630265200834079,0.6307692307692307,0.24615384615384617
2014-12-31,6.45,76.9514514670751,0.08797754780358694,0.11383995030022923,0.71875,0.109375
2014-09-30,6.72,74.9320179948753,0.09435219001420098,0.11348239827019015,0.84375,0.09375
2014-06-30,6.69,74.1655836802278,0.0960014018186465,0.11219613940335088,0.625,0.1875
2014-03-31,5.5,69.1885501548599,0.08469609475677654,0.10938042041686237,0.671875,0.171875
2013-12-31,8.03,72.8204299146353,0.09104587830327429,0.11240604833535871,0.578125,0.28125
2013-09-30,6.16,70.8200884588874,0.09206427359639634,0.1141373785152088,0.6190476190476191,0.20634920634920634
2013-06-30,5.72,70.0882125602824,0.0891733398768647,0.11159181579255008,0.639344262295082,0.26229508196721313
2013-03-31,5.47,66.5961173533283,0.0822870794542818,0.10781330656989148,0.5573770491803278,0.32786885245901637
2012-12-31,3.97,69.7507004527339,0.0698200873738913,0.10636484198276594,0.6,0.31666666666666665
2012-09-30,5.15,68.1819250255303,0.08433320117974005,0.11185800470593746,0.5932203389830508,0.288135593220339
2012-06-30,5.96,68.8886862946777,0.08956477952863344,0.1181421899709814,0.7666666666666667,0.16666666666666666
2012-03-31,5.39,66.1617717382471,0.08282728615068355,0.11368922611246453,,
2011-12-31,5.08,68.0467801881671,0.07965108687012501,0.1147884859859994,,
2011-09-30,5.12,66.5898540857085,0.08169412705121894,0.1151665900268665,,
2011-06-30,5.36,64.8685123364731,0.08540353093445413,0.11378936542229785,,
2011-03-31,4.61,60.4992415492483,0.07537284572878512,0.11051253604858326,,
2010-12-31,4.71,63.911389481222194,0.08191999748205164,0.1156220285544206,,
2010-09-30,4.58,117.58509680908894,0.07738779339723571,0.14220643614417786,,
2010-06-30,4.48,,,,,
2010-03-31,3.32,,,,,
2009-12-31,3.94,,,,,
2009-09-30,2.88,,,,,
2009-06-30,3.28,,,,,
2009-03-31,2.45,,,,,
2008-12-31,1.93,,,,,
2008-09-30,5.22,,,,,
2008-06-30,5.53,,,,,
2008-03-31,4.94,,,,,
