,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2023-03-31,126.239004529952,65.1913552989665,106.415521777813,146.688770137735,136.100004727774,227.224416652492,70.8573377974575,107.554853183047,18.0105706129888,40.6043882337955
2022-12-31,142.336019551866,65.1076121792984,113.990464686636,168.845763293477,129.397868805953,226.28871759055,77.6405603927368,113.159963416134,19.282788177502,38.2285834906578
2022-09-30,157.674840986995,68.2350246343903,111.240707548667,156.810104608756,129.907275612335,219.281782371112,68.8595595390594,105.97576828571,17.7985179177427,39.2311148624035
2022-06-30,166.024883686567,73.2183351398481,110.095165361921,154.210069504053,122.182602799901,218.14542148029,54.5610311021575,104.830883869474,17.6386846369397,33.607686895251
2022-03-31,128.357164623416,66.8940665115713,98.2823899751652,142.040822349767,120.024685322979,213.73967137268,60.1753969768827,107.217807100801,17.4366041592016,35.4180606913141
2021-12-31,119.893114086811,64.8191111675595,99.5635014883983,154.681543021723,121.307530383507,210.321348125409,67.0218761119437,110.694166140927,18.6775838250519,32.4165505136943
2021-09-30,105.453600672757,62.5848391678059,94.4236927223118,139.525572698325,119.751061941782,203.251586686566,61.4658474982836,99.7831247280861,17.1103382127612,32.1630025342666
2021-06-30,94.3345919528154,61.1591760541045,92.4972816972172,139.172680129984,112.983606737036,198.009057083387,62.9807576545978,97.5516588724077,17.0071691498626,27.3342222328503
2021-03-31,82.2524009310087,53.0894873974974,84.7386064656305,130.817518483893,109.147722889286,187.801461195278,60.5420599568553,95.6678604482763,16.131886908618,31.7868497457527
2020-12-31,68.1030358285905,50.4972343924814,86.61016026371,139.725236689441,110.089319928423,188.537451153435,61.8670649331195,101.322853247881,16.7270648067949,27.4113712808355
2020-09-30,64.8928317150263,47.4548194619445,80.3048193611092,143.183370031296,107.971224772342,180.559851070495,59.4823650302789,83.986199914554,14.6811892389911,29.6341601461491
2020-06-30,47.8892379875489,44.6758397415837,71.9320850341562,120.731587949394,99.9608780701668,166.366855732839,59.488390121631,79.8731679826433,13.3680597007566,24.9697790263656
2020-03-31,83.8868403543107,47.1760779218731,84.1404611164826,129.316838920468,104.989228763481,172.776420170601,48.3811076360206,78.032198364601,14.428881860316,28.7083742662288
2019-12-31,99.3717188931908,48.6237872054878,94.3802817443201,151.721051043211,105.077079687746,171.174346142093,62.6832764200606,89.7819714971505,15.9481504635212,28.523897493083
2019-09-30,97.5443275056715,49.5894622662154,93.3472915273146,142.023587209116,104.522178044275,166.975066891664,59.9403298308666,79.3412738875897,14.5277370362751,31.0589991202762
2019-06-30,100.022109080899,52.948135795092,96.3874726859755,141.26409094151,99.7164409950889,164.951116940736,59.482142554686,75.7824089977771,14.3312750286951,27.3134842366036
2019-03-31,90.3063930761273,48.8420716002379,91.9629837100781,132.21126628229,98.3481194911266,158.984428291832,58.9005033284565,73.473369139292,13.7338669726865,31.0717016537977
2018-12-31,103.194111670289,48.877769237742,96.3163925184123,148.342875898962,100.69443606234,150.588976832127,50.9862854955518,82.4755604067146,14.6185966742863,31.3185329020132
2018-09-30,104.885739258917,53.4042539709699,94.0000306447444,133.97286907351,100.429725293361,150.712838342097,55.937454231577,75.539312122458,13.1181408511066,33.8968664184339
2018-06-30,105.128593769465,55.6154340414953,93.743081878254,126.131370369354,96.1449021049761,149.565732083535,54.4343673793849,67.4715192155169,24.6865579871564,29.9246471911555
2018-03-31,94.7072121039433,49.3221309768702,86.880080623266,119.074968445163,105.17467701792,133.909986520653,50.7740262919237,66.7651254702785,26.3878018556888,34.0319243195273
2017-12-31,94.6970519181062,46.993305549469,88.9147475799796,129.019932187183,108.564256773162,134.228544634281,49.8089450817918,73.7530089285102,28.4372822308636,31.9327239061337
2017-09-30,84.4886498698755,43.9128737582599,86.3657827397675,114.119351222635,105.814292118556,129.074177177872,49.4860258315544,61.7170740216218,26.7193340001406,34.1824695289895
2017-06-30,79.1733228449445,46.5335044945513,84.9991979340811,116.070035023362,97.930068608824,129.125948354866,47.9045321045194,58.4945447615454,26.3794621697215,30.6587795673073
2017-03-31,78.5222331678265,44.5218016925012,79.061283269753,111.842922394181,95.9047800853506,125.074797395144,47.4503092029096,56.6775923349112,26.0266869209355,33.4822141960179
2016-12-31,74.1721851639568,42.3616616126153,81.9439734673065,121.608105915433,98.3029881657548,126.764584969313,45.2274147926016,64.0113290035328,28.4529407976077,31.0208742356567
2016-09-30,70.9654685363055,44.9824398019704,79.6540841503779,112.227270449918,96.5098590171543,123.89737709788,46.2497375875337,55.0420404109284,27.6898902228005,35.6744492156918
2016-06-30,69.2850133131225,47.1814085875258,78.6356761329007,112.089612123129,93.4527431807323,126.098048838314,38.2220932721387,53.0534683036167,27.4626770820291,29.1094625204751
2016-03-31,59.056575266402,44.3434659681791,74.561695185475,105.24907095903,93.2357363660154,121.423135589663,36.8598797663907,52.9475929080688,27.6254312327528,31.9570780946871
2015-12-31,75.0887112952932,43.3786204481086,77.1973893277104,113.767739784515,95.116698525038,121.808925717016,37.3648932965647,59.9733071151156,28.9417571240587,30.0446632556042
2015-09-30,86.4703227874551,44.027386860275,77.0450915676133,104.682497124058,94.3612741116507,117.833345003582,37.6909364687033,52.8757593118222,27.5427920724106,35.4181824294175
